Gene,d0_Old,d0_Y,d1_Old,d1_Y,d3_Old,d3_Y,d5_Old,d5_Y,d7_Old,d7_Y
ENSMUSG00000108122,-0.3445799806,-0.0795184571,-0.3445799806,-0.3445799806,2.8361583015,-0.3445799806,-0.3445799806,-0.3445799806,-0.3445799806,0.4713511211
ENSMUSG00000086676,-0.3656479172,0.1112841487,-0.3656479172,-0.3656479172,2.8138991886,-0.3656479172,-0.3656479172,-0.3656479172,-0.3656479172,2.8460498942
ENSMUSG00000071332,-0.4035335917,-0.303068797,-0.4035335917,-0.1523716051,2.8113398362,-0.4035335917,-0.4035335917,0.0653021159,-0.4035335917,0.4388406207
ENSMUSG00000087242,-0.3787407168,-0.3787407168,-0.3787407168,-0.3787407168,2.7921117969,0.2378139377,-0.3787407168,-0.3787407168,-0.3787407168,-0.5458138847
ENSMUSG00000064032,-0.3939192986,0.3939192986,-0.3939192986,-0.3939192986,2.7574350901,-0.3939192986,-0.3939192986,-0.3939192986,-0.3939192986,0.86624238
ENSMUSG00000104389,-0.4140393356,0.6210590034,-0.4140393356,-0.4140393356,2.6912556814,-0.4140393356,-0.4140393356,-0.4140393356,-0.4140393356,-0.6430378299
ENSMUSG00000097613,-0.4644241462,0.4994750251,-0.4644241462,0.0613390382,2.69015496,-0.4644241462,-0.4644241462,-0.4644241462,-0.4644241462,0.677424987
ENSMUSG00000097147,-0.4496404314,0.6594726328,-0.4496404314,-0.1798561726,2.6678665598,-0.4496404314,-0.4496404314,-0.4496404314,-0.4496404314,-0.7224496167
ENSMUSG00000072769,-0.5217033602,0.5849401311,-0.5217033602,-0.2055195055,2.6401351863,0.1106643491,-0.5217033602,-0.5217033602,-0.5217033602,1.4936568559
ENSMUSG00000108353,-0.5033160387,0.7090510615,-0.5033160387,-0.5033160387,2.5827093072,0.2314519023,-0.5033160387,-0.5033160387,-0.5033160387,-1.0778497395
ENSMUSG00000103436,-0.6894811625,-0.6222529591,-0.2129241622,-0.3992393387,2.5366361702,0.6521553948,-0.7091373091,0.3242741414,-0.2430357059,1.9752020198
ENSMUSG00000039545,-0.4444783185,-0.4444783185,-0.4444783185,-0.4444783185,2.5187104715,1.0371160765,-0.4444783185,-0.4444783185,-0.4444783185,-0.6077826151
ENSMUSG00000097824,-0.4735225467,-0.4735225467,-0.4735225467,-0.4735225467,2.5171461708,1.0218118121,-0.4735225467,-0.2243001561,-0.4735225467,-0.5006943133
ENSMUSG00000104662,-0.4454715937,1.0531194819,-0.4454715937,-0.4454715937,2.5106532677,-0.4454715937,-0.4454715937,-0.4454715937,-0.4454715937,-0.3112575192
ENSMUSG00000104784,-0.681480868,-0.681480868,0.0803541293,-0.1865661617,2.4381500332,1.0015998559,-0.681480868,-0.2236384244,-0.5257773649,-0.8663942699
ENSMUSG00000029447,-0.9581717593,-0.4404070111,-0.5079415435,-0.123881526,2.3762605056,1.1210732373,-0.6880336298,-0.1068273512,-0.3524074689,0.3195434273
ENSMUSG00000037735,-0.5121742567,-0.5121742567,-0.5121742567,-0.2315308284,2.3644208839,1.2886210754,-0.5121742567,-0.3484655904,-0.5121742567,1.4444470764
ENSMUSG00000092602,-0.4309528666,-0.3733024229,-0.4468225381,-0.0151815176,2.3393581049,0.9504107507,-1.0665823636,0.2746155365,-0.3629801144,-0.6292965611
ENSMUSG00000099098,-0.757602107,-0.757602107,-0.0388701952,-0.6915961151,2.2346695257,0.6603043855,-0.757602107,-0.3860128192,0.9878896787,0.36797799
ENSMUSG00000107561,-0.5061222809,-0.3693324753,-0.5061222809,-0.5061222809,2.2296738322,1.5001282039,-0.5061222809,-0.3237358752,-0.5061222809,0.3131388765
